zmin zmax nz
0.0 0.05 1.7015
0.05 0.1 8.6635
0.1 0.15 14.5894
0.15 0.2 8.124
0.2 0.25 7.2312
0.25 0.3 5.9112
0.3 0.35 4.753
0.35 0.4 2.5389
0.4 0.45 2.7086
0.45 0.5 4.6259
0.5 0.55 2.8128
0.55 0.6 3.044
0.6 0.65 5.1617
0.65 0.7 9.9188
0.7 0.75 25.9853
0.75 0.8 47.2768
0.8 0.85 69.0543
0.85 0.9 80.0105
0.9 0.95 88.7922
0.95 1.0 86.1474
1.0 1.05 77.8668
1.05 1.1 72.221
1.1 1.15 68.8836
1.15 1.2 66.3972
1.2 1.25 63.6917
1.25 1.3 60.0229
1.3 1.35 57.1124
1.35 1.4 54.2396
1.4 1.45 50.8044
1.45 1.5 45.4023
1.5 1.55 29.8554
1.55 1.6 28.5187
1.6 1.65 9.621
1.65 1.7 0.0
1.7 1.75 0.0
1.75 1.8 0.0
1.8 1.85 0.0
1.85 1.9 0.0
1.9 1.95 0.0
1.95 2.0 0.0
